"loop_type1","loop_type2","W_statistic","p_value"
"loop1","loop1_opt_cacheblocking",400,6.78603861673865e-08
"loop1","loop1_opt_unrolling",60,0.000160981339659184
"loop1","loop1_opt_batching",400,6.79561512817337e-08
"loop2","loop2_opt_cacheblocking",400,6.78603861673865e-08
"loop2","loop2_opt_unrolling",400,6.77647383397646e-08
"loop2","loop2_opt_batching",400,6.78603861673865e-08
"loop3","loop3_opt_cacheblocking",20.5,1.28413902995483e-06
"loop3","loop3_opt_unrolling",123,0.0385149604311212
"loop3","loop3_opt_batching",400,6.79561512817337e-08
"loop4","loop4_opt_cacheblocking",400,6.79561512817337e-08
"loop4","loop4_opt_unrolling",400,6.79561512817337e-08
"loop4","loop4_opt_batching",400,6.79561512817337e-08
"loop5","loop5_opt_cacheblocking",147,0.155569932587743
"loop5","loop5_opt_unrolling",60,0.000160981339659184
"loop5","loop5_opt_batching",400,6.79561512817337e-08
"loop6","loop6_opt_cacheblocking",0,6.79561512817337e-08
"loop6","loop6_opt_unrolling",0,6.79561512817337e-08
"loop6","loop6_opt_batching",0,6.79561512817337e-08
"loop7","loop7_opt_cacheblocking",4,1.23463501549567e-07
"loop7","loop7_opt_unrolling",1,7.89803366667469e-08
"loop7","loop7_opt_batching",0,6.79561512817337e-08
"loop8","loop8_opt_cacheblocking",341,0.000144382559315278
"loop8","loop8_opt_unrolling",400,6.79561512817337e-08
"loop8","loop8_opt_batching",0,6.79561512817337e-08
"loop9","loop9_opt_cacheblocking",196.5,0.935319422877221
"loop9","loop9_opt_unrolling",89,0.00279860219090708
"loop9","loop9_opt_batching",168,0.394170909951645
"loop10","loop10_opt_cacheblocking",142,0.119855565959248
"loop10","loop10_opt_unrolling",185,0.694891019867766
"loop10","loop10_opt_batching",146,0.147846582714362
